INFO 2025-10-16 06:43:50,154 autoreload Watching for file changes with StatReloader
INFO 2025-10-16 06:44:15,521 autoreload Watching for file changes with StatReloader
INFO 2025-10-16 06:44:19,755 basehttp "GET / HTTP/1.1" 200 7794
INFO 2025-10-16 06:44:19,828 basehttp "GET /static/login/login.css HTTP/1.1" 304 0
INFO 2025-10-16 06:44:19,830 basehttp "GET /static/login/login.js HTTP/1.1" 304 0
INFO 2025-10-16 06:44:19,939 basehttp "GET /favicon.ico HTTP/1.1" 200 68
WARNING 2025-10-16 06:44:38,772 log Not Found: /sdmin
WARNING 2025-10-16 06:44:38,773 basehttp "GET /sdmin HTTP/1.1" 404 3363
INFO 2025-10-16 06:44:38,807 basehttp "GET /favicon.ico HTTP/1.1" 200 68
WARNING 2025-10-16 06:44:43,405 log Not Found: /sadmin
WARNING 2025-10-16 06:44:43,406 basehttp "GET /sadmin HTTP/1.1" 404 3366
INFO 2025-10-16 06:44:43,454 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:44:55,472 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-10-16 06:44:55,497 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22120
INFO 2025-10-16 06:44:55,509 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2808
INFO 2025-10-16 06:44:55,510 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-10-16 06:44:55,510 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-10-16 06:44:55,511 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-10-16 06:44:55,511 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 16565
INFO 2025-10-16 06:44:55,529 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-10-16 06:44:55,606 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:44:57,692 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4347
INFO 2025-10-16 06:44:57,756 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:47:38,726 autoreload Watching for file changes with StatReloader
INFO 2025-10-16 06:47:42,155 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-16 06:47:42,281 basehttp "GET /admin/ HTTP/1.1" 200 13647
INFO 2025-10-16 06:47:42,357 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-10-16 06:47:42,412 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
INFO 2025-10-16 06:47:42,413 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
INFO 2025-10-16 06:47:42,473 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:49:20,046 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-10-16 06:49:20,067 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4173
INFO 2025-10-16 06:49:20,166 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:49:23,129 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-10-16 06:49:23,158 basehttp "GET /admin/ HTTP/1.1" 200 16922
INFO 2025-10-16 06:49:23,233 basehttp "GET /static/admin/img/icon-deletelink.svg HTTP/1.1" 200 392
INFO 2025-10-16 06:49:23,293 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:49:26,785 basehttp "GET /admin/main/user/ HTTP/1.1" 200 48187
INFO 2025-10-16 06:49:26,815 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
INFO 2025-10-16 06:49:26,831 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
INFO 2025-10-16 06:49:26,832 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
INFO 2025-10-16 06:49:26,837 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9777
INFO 2025-10-16 06:49:26,839 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
INFO 2025-10-16 06:49:26,840 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
INFO 2025-10-16 06:49:26,849 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
INFO 2025-10-16 06:49:26,850 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
INFO 2025-10-16 06:49:26,850 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
INFO 2025-10-16 06:49:26,851 basehttp "GET /static/admin/img/search.svg HTTP/1.1" 200 458
INFO 2025-10-16 06:49:26,853 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
INFO 2025-10-16 06:49:26,864 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
INFO 2025-10-16 06:49:26,921 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
INFO 2025-10-16 06:49:26,956 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2025-10-16 06:49:26,961 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
INFO 2025-10-16 06:49:26,972 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
INFO 2025-10-16 06:49:27,080 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:50:13,488 basehttp "GET / HTTP/1.1" 200 7794
INFO 2025-10-16 06:50:13,803 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:50:32,320 basehttp "POST / HTTP/1.1" 302 0
INFO 2025-10-16 06:50:32,361 basehttp "GET /api/controller-panel/dashboard/ HTTP/1.1" 200 24298
INFO 2025-10-16 06:50:32,735 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:50:45,251 basehttp "GET /api/controller-panel/add-user/ HTTP/1.1" 200 58290
INFO 2025-10-16 06:50:45,404 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:50:54,219 basehttp "GET /api/controller-panel/add-user/?filter_role=&filter_group=1&filter_kafedra=&filter_bulim= HTTP/1.1" 200 15531
INFO 2025-10-16 06:50:54,283 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:51:43,691 basehttp "GET / HTTP/1.1" 200 7794
INFO 2025-10-16 06:51:44,092 basehttp "GET /static/main/1.png HTTP/1.1" 200 48202
INFO 2025-10-16 06:51:44,165 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:51:47,260 basehttp "POST / HTTP/1.1" 302 0
INFO 2025-10-16 06:51:47,320 basehttp "GET /api/test-api/dashboard/ HTTP/1.1" 200 18679
INFO 2025-10-16 06:51:54,477 basehttp "GET /api/controller-panel/dashboard/ HTTP/1.1" 200 24298
INFO 2025-10-16 06:51:54,740 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:52:05,059 basehttp "GET /api/controller-panel/edit-test/2/ HTTP/1.1" 200 7409
INFO 2025-10-16 06:52:05,138 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:52:21,214 basehttp "POST /api/controller-panel/edit-test/2/ HTTP/1.1" 302 0
INFO 2025-10-16 06:52:21,238 basehttp "GET /api/controller-panel/dashboard/ HTTP/1.1" 200 24282
INFO 2025-10-16 06:52:21,498 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:52:30,514 basehttp "GET /api/controller-panel/participated-students/ HTTP/1.1" 200 252668
INFO 2025-10-16 06:52:30,737 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:52:41,574 basehttp "POST /api/controller-panel/allow-retake/ HTTP/1.1" 200 17
INFO 2025-10-16 06:52:42,105 basehttp "GET /api/controller-panel/participated-students/ HTTP/1.1" 200 252190
INFO 2025-10-16 06:52:42,226 basehttp "GET /favicon.ico HTTP/1.1" 200 68
INFO 2025-10-16 06:53:31,881 basehttp "GET /api/test-api/dashboard/ HTTP/1.1" 200 20527
INFO 2025-10-16 06:53:34,826 basehttp "GET /api/test-api/test/2/ HTTP/1.1" 200 168228
INFO 2025-10-16 06:53:37,083 basehttp "POST /api/log-blur/ HTTP/1.1" 200 16
INFO 2025-10-16 06:53:42,564 basehttp "POST /api/log-blur/ HTTP/1.1" 200 16
